id,name,price,link,mileage
62,Citroen C4 1.6HDI 68 K W,5.990 €,/auto-oglasi/19704821/citroen-c4-16hdi-68-k-w?attp=p1_pv0_pc1_pl1_plv0,192.259 km
63,Citroen C4 1.6 HDI RESTAJLING,3.990 € + registracija,/auto-oglasi/19449657/citroen-c4-16-hdi-restajling?attp=p1_pv0_pc1_pl1_plv0,179.850 km
64,Citroen C4 1.6 HDI / LED,7.590 € + registracija,/auto-oglasi/19627530/citroen-c4-16-hdi-led?attp=p3_pv0_pc1_pl1_plv0,172.350 km
65,Citroen C4 1.6 HDi 100 (može zamena),9.590 € + registracija,/auto-oglasi/19060200/citroen-c4-16-hdi-100?attp=p1_pv0_pc1_pl1_plv0,154.900 km
66,Citroen C4 1.6hdi  SX  Pack,3.999 €,/auto-oglasi/19361447/citroen-c4-16hdi-sx-pack?attp=p3_pv0_pc1_pl1_plv0,159.769 km
67,Citroen C4 1.6 Hdi Collection,5.899 € + registracija,/auto-oglasi/19698656/citroen-c4-16-hdi-collection?attp=p1_pv0_pc1_pl1_plv0,235.487 km
68,Citroen C4 1.6 HDi /EXCLUSIVE/,2.950 € + registracija,/auto-oglasi/19695451/citroen-c4-16-hdi-exclusive?attp=p3_pv0_pc1_pl1_plv0,181.560 km
69,Citroen C4 1.6BHDI,8.400 €,/auto-oglasi/19183116/citroen-c4-16bhdi?attp=p1_pv0_pc1_pl1_plv0,162.500 km
70,Citroen C4 1.6 16v,2.750 €,/auto-oglasi/19690110/citroen-c4-16-16v?attp=p1_pv0_pc1_pl1_plv0,165.000 km
71,Citroen C4 1.6 HDI (može zamena),2.990 € + registracija,/auto-oglasi/19693798/citroen-c4-16-hdi?attp=p1_pv0_pc1_pl1_plv0,179.000 km
72,Citroen C4 1.6,6.700 €,/auto-oglasi/19685482/citroen-c4-16?attp=p1_pv0_pc1_pl1_plv0,307.000 km
73,Citroen C4 1.6 HDI NAV LED ALU,10.550 €,/auto-oglasi/19693658/citroen-c4-16-hdi-nav-led-alu?attp=p1_pv0_pc1_pl1_plv0,127.574 km
74,Citroen C4 2.0,3.100 €,/auto-oglasi/19689584/citroen-c4-20?attp=p1_pv0_pc1_pl1_plv0,228.634 km
75,Citroen C4 1.4 CH,3.100 € + registracija,/auto-oglasi/19106466/citroen-c4-14-ch?attp=p1_pv0_pc1_pl1_plv0,180.000 km
76,Citroen C4 1.6 HDi,7.800 €,/auto-oglasi/19686484/citroen-c4-16-hdi?attp=p1_pv0_pc1_pl1_plv0,217.324 km
77,Citroen C4 1.6 hdi nav led,9.650 €,/auto-oglasi/19521158/citroen-c4-16-hdi-nav-led?attp=p1_pv0_pc1_pl1_plv0,167.000 km
78,Citroen C4 1.6HDI,7.200 6.800 €,/auto-oglasi/19496527/citroen-c4-16hdi?attp=p1_pv0_pc1_pl1_plv0,250.000 km
79,Citroen C4 1.6 HDI SVAJCARSKA,3.599 € + registracija,/auto-oglasi/19679568/citroen-c4-16-hdi-svajcarska?attp=p1_pv0_pc1_pl1_plv0,162.553 km
80,"Citroen C4 1,6 hdi",5.400 €,/auto-oglasi/19608840/citroen-c4-16-hdi?attp=p1_pv0_pc1_pl1_plv0,249.103 km
81,Citroen C4 1.6 Blue HDI,8.200 €,/auto-oglasi/19637527/citroen-c4-16-blue-hdi?attp=p1_pv0_pc1_pl1_plv0,205.000 km
82,Citroen C4 1.6hdi 66k.w B0Š,3.000 €,/auto-oglasi/19458251/citroen-c4-16hdi-66kw-b0s?attp=p1_pv0_pc1_pl1_plv0,207.500 km
83,Citroen C4 1.6hdi,8.200 € + registracija,/auto-oglasi/19669256/citroen-c4-16hdi?attp=p1_pv0_pc1_pl1_plv0,126.575 km
84,Citroen C4 1.6 HDI,5.500 € + registracija,/auto-oglasi/19131998/citroen-c4-16-hdi?attp=p1_pv0_pc1_pl1_plv0,178.511 km
85,Citroen C4 1.6 eHDI,7.400 €,/auto-oglasi/18216053/citroen-c4-16-ehdi?attp=p1_pv0_pc1_pl1_plv0,183.599 km
86,Citroen C4 1.6 BHDI,8.300 € + registracija,/auto-oglasi/19233057/citroen-c4-16-bhdi?attp=p1_pv0_pc1_pl1_plv0,149.604 km
87,Citroen C4 1.6 hdi EXCLUSIVE,6.590 €,/auto-oglasi/19664361/citroen-c4-16-hdi-exclusive?attp=p1_pv0_pc1_pl1_plv0,182.467 km
88,Citroen C4 1.6HDI Milenium,8.399 € + registracija,/auto-oglasi/19567315/citroen-c4-16hdi-milenium?attp=p1_pv0_pc1_pl1_plv0,188.400 km
89,Citroen C4 RESTAJLING (može zamena),3.100 € + registracija,/auto-oglasi/19340168/citroen-c4-restajling?attp=p3_pv0_pc1_pl1_plv0,149.300 km
90,Citroen C4 1.6 HDI,2.599 € + registracija,/auto-oglasi/19106410/citroen-c4-16-hdi?attp=p1_pv0_pc1_pl1_plv0,204.000 km
91,Citroen C4 1.6 BlueHdi 120 A/T,10.990 € + registracija,/auto-oglasi/19576223/citroen-c4-16-bluehdi-120-at?attp=p1_pv0_pc1_pl1_plv0,170.065 km
92,Citroen C4 1.6 HDI,5.700 €,/auto-oglasi/19636049/citroen-c4-16-hdi?attp=p1_pv0_pc1_pl1_plv0,199.000 km
93,Citroen C4,3.500 €,/auto-oglasi/19639825/citroen-c4?attp=p1_pv0_pc1_pl1_plv0,182.321 km
94,Citroen C4 1.4,3.700 € + registracija,/auto-oglasi/19639601/citroen-c4-14?attp=p3_pv0_pc1_pl1_plv0,210.000 km
95,Citroen C4 HDI 1.6 VTS,2.450 €,/auto-oglasi/19608565/citroen-c4-hdi-16-vts?attp=p1_pv0_pc1_pl1_plv0,248.409 km
96,Citroen C4 1.6 hdi restyl reg,3.350 €,/auto-oglasi/19632742/citroen-c4-16-hdi-restyl-reg?attp=p1_pv0_pc1_pl1_plv0,201.000 km
97,Citroen C4,2.050 €,/auto-oglasi/19613837/citroen-c4?attp=p1_pv0_pc1_pl1_plv0,162.433 km
98,Citroen C4 1.6,2.550 €,/auto-oglasi/19423550/citroen-c4-16?attp=p1_pv0_pc1_pl1_plv0,221.000 km
99,Citroen C4 1.6 hdi,6.950 €,/auto-oglasi/18788447/citroen-c4-16-hdi?attp=p1_pv0_pc1_pl1_plv0,210.000 km
100,Citroen C4 1.6 BlueHDI,7.600 €,/auto-oglasi/19545588/citroen-c4-16-bluehdi?attp=p1_pv0_pc1_pl1_plv0,212.255 km
101,Citroen C4 1.6b Video u 0pisu,4.800 €,/auto-oglasi/19571154/citroen-c4-16b-video-u-0pisu?attp=p1_pv0_pc1_pl1_plv0,207.000 km
102,Citroen C4 1.6,2.700 €,/auto-oglasi/19732094/citroen-c4-16?attp=p0_pv0_pc0_pl1_plv0,190.020 km
103,Citroen C4  (može zamena),2.550 €,/auto-oglasi/19732754/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,243.463 km
104,Citroen C4 1.6 HDI,3.999 € + registracija,/auto-oglasi/19100934/citroen-c4-16-hdi?attp=p0_pv0_pc0_pl1_plv0,169.000 km
105,Citroen C4 1.6 BLU ALU NAV LED,8.750 € + registracija,/auto-oglasi/19100562/citroen-c4-16-blu-alu-nav-led?attp=p0_pv0_pc0_pl1_plv0,168.757 km
106,Citroen C4,2.500 €,/auto-oglasi/19579770/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,213.000 km
107,Citroen C4 1.6 hdi,2.750 €,/auto-oglasi/19654842/citroen-c4-16-hdi?attp=p0_pv0_pc0_pl1_plv0,175.000 km
108,Citroen C4 1.6 16V (može zamena),2.790 €,/auto-oglasi/19380405/citroen-c4-16-16v?attp=p0_pv0_pc0_pl1_plv0,188.682 km
109,Citroen C4 1.6 HDI N1 TERETNO (može zamena),7.900 € + registracija,/auto-oglasi/19731119/citroen-c4-16-hdi-n1-teretno?attp=p0_pv0_pc0_pl1_plv0,203.000 km
110,Citroen C4 1.6 HDI,5.200 €,/auto-oglasi/19394501/citroen-c4-16-hdi?attp=p0_pv0_pc0_pl1_plv0,2.500.000 km
111,Citroen C4 1.6 HDi,5.990 € + registracija,/auto-oglasi/19655578/citroen-c4-16-hdi?attp=p0_pv0_pc0_pl1_plv0,178.230 km
112,Citroen C4 2.0 HDI EXCLUSIVE,6.450 €,/auto-oglasi/19596572/citroen-c4-20-hdi-exclusive?attp=p0_pv0_pc0_pl1_plv0,267.870 km
113,Citroen C4 2.0 HDI CH,3.400 €,/auto-oglasi/18391308/citroen-c4-20-hdi-ch?attp=p0_pv0_pc0_pl1_plv0,202.610 km
114,Citroen C4,3.300 €,/auto-oglasi/18117473/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,207.000 km
115,Citroen C4,2.950 €,/auto-oglasi/19727590/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,219.000 km
116,Citroen C4 1.6hdi,4.150 €,/auto-oglasi/19728241/citroen-c4-16hdi?attp=p0_pv0_pc0_pl1_plv0,159.000 km
117,Citroen C4 Citroen C4 1.6 HDI,8.400 €,/auto-oglasi/19361300/citroen-c4-citroen-c4-16-hdi?attp=p0_pv0_pc0_pl1_plv0,174.998 km
118,Citroen C4 1.6 hdi,6.900 €,/auto-oglasi/18717008/citroen-c4-16-hdi?attp=p0_pv0_pc0_pl1_plv0,172.000 km
119,Citroen C4 1.6 HDI BUSINESS,11.990 € + registracija,/auto-oglasi/19653274/citroen-c4-16-hdi-business?attp=p0_pv0_pc0_pl1_plv0,158.998 km
120,Citroen C4 1.6 HDI AUT MILENIUM,11.250 € + registracija,/auto-oglasi/19522929/citroen-c4-16-hdi-aut-milenium?attp=p0_pv0_pc0_pl1_plv0,146.000 km
121,Citroen C4 HDI,5.300 €,/auto-oglasi/18100484/citroen-c4-hdi?attp=p0_pv0_pc0_pl1_plv0,192.000 km
122,Citroen C4 1.6 HDI 126000,7.450 € + registracija,/auto-oglasi/19570490/citroen-c4-16-hdi-126000?attp=p0_pv0_pc0_pl1_plv0,126.000 km
123,Citroen C4 1.6 hdi,6.200 €,/auto-oglasi/18929509/citroen-c4-16-hdi?attp=p0_pv0_pc0_pl1_plv0,172.636 km
124,Citroen C4,2.299 €,/auto-oglasi/19005369/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,235.410 km
125,Citroen C4 1.6 HDI ATTRACTION (može zamena),6.750 €,/auto-oglasi/18749710/citroen-c4-16-hdi-attraction?attp=p0_pv0_pc0_pl1_plv0,146.678 km
126,Citroen C4 Novo CH (može zamena),3.500 €,/auto-oglasi/19726735/citroen-c4-novo-ch?attp=p2_pv0_pc1_pl1_plv0,120.383 km
127,Citroen C4  (može zamena),3.000 €,/auto-oglasi/19726350/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,210.000 km
128,Citroen C4  (može zamena),3.500 €,/auto-oglasi/19725532/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,205.000 km
129,Citroen C4,2.000 €,/auto-oglasi/19725415/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,367.123 km
130,Citroen C4 1.6 HDI,5.990 €,/auto-oglasi/19725219/citroen-c4-16-hdi?attp=p0_pv0_pc0_pl1_plv0,192.000 km
131,Citroen C4 Exclusive (može zamena),2.700 €,/auto-oglasi/19725226/citroen-c4-exclusive?attp=p0_pv0_pc0_pl1_plv0,268.990 km
132,Citroen C4 1.4 CH,2.950 €,/auto-oglasi/19725205/citroen-c4-14-ch?attp=p0_pv0_pc0_pl1_plv0,173.659 km
133,Citroen C4 p a n o r a m a,2.999 € + registracija,/auto-oglasi/19725155/citroen-c4-p-a-n-o-r-a-m-a?attp=p0_pv0_pc0_pl1_plv0,180.000 km
134,Citroen C4 1.6,2.450 €,/auto-oglasi/19574990/citroen-c4-16?attp=p0_pv0_pc0_pl1_plv0,161.000 km
135,Citroen C4 1.6 BLU ALU NAV LED,9.950 €,/auto-oglasi/19723102/citroen-c4-16-blu-alu-nav-led?attp=p0_pv0_pc0_pl1_plv0,100.696 km
136,Citroen C4 eng,2.700 €,/auto-oglasi/19723011/citroen-c4-eng?attp=p0_pv0_pc0_pl1_plv0,114.000 km
137,Citroen C4  (može zamena),2.700 €,/auto-oglasi/19722479/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,250.000 km
138,Citroen C4 1.6hdi Cupe,2.600 €,/auto-oglasi/19722414/citroen-c4-16hdi-cupe?attp=p0_pv0_pc0_pl1_plv0,189.000 km
139,Citroen C4 1.6,3.000 €,/auto-oglasi/19721954/citroen-c4-16?attp=p0_pv0_pc0_pl1_plv0,133.000 km
140,Citroen C4,2.900 2.700 €,/auto-oglasi/19045639/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,198.000 km
141,Citroen C4 1.6b Svajcarska,2.699 € + registracija,/auto-oglasi/19645728/citroen-c4-16b-svajcarska?attp=p0_pv0_pc0_pl1_plv0,216.000 km
142,Citroen C4 1.6hdi 66 NAV,2.999 €,/auto-oglasi/19641219/citroen-c4-16hdi-66-nav?attp=p0_pv0_pc0_pl1_plv0,210.321 km
143,Citroen C4 1.6 16v CH,5.850 €,/auto-oglasi/19641396/citroen-c4-16-16v-ch?attp=p0_pv0_pc0_pl1_plv0,213.000 km
144,Citroen C4 1.6 16v (može zamena),2.890 €,/auto-oglasi/19640323/citroen-c4-16-16v?attp=p0_pv0_pc0_pl1_plv0,175.280 km
145,Citroen C4 1.6 HDI/aut.,2.699 €,/auto-oglasi/19559886/citroen-c4-16-hdiaut?attp=p0_pv0_pc0_pl1_plv0,168.000 km
146,Citroen C4 1.6 HDI,6.000 € + registracija,/auto-oglasi/19473169/citroen-c4-16-hdi?attp=p0_pv0_pc0_pl1_plv0,182.000 km
147,Citroen C4 1.6 E-hdi,6.300 €,/auto-oglasi/19719358/citroen-c4-16-e-hdi?attp=p0_pv0_pc0_pl1_plv0,213.000 km
148,Citroen C4,6.700 €,/auto-oglasi/19718332/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,236.000 km
149,Citroen C4  (može zamena),2.250 €,/auto-oglasi/19565991/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,280.000 km
150,Citroen C4 1.4i 6 5 k w (može zamena),2.600 €,/auto-oglasi/19535389/citroen-c4-14i-6-5-k-w?attp=p0_pv0_pc0_pl1_plv0,230.500 km
151,Citroen C4 1.6hdi,3.099 € + registracija,/auto-oglasi/19717602/citroen-c4-16hdi?attp=p0_pv0_pc0_pl1_plv0,223.000 km
152,Citroen C4 1.6 HDI,8.200 €,/auto-oglasi/18889586/citroen-c4-16-hdi?attp=p0_pv0_pc0_pl1_plv0,190.000 km
153,Citroen C4,3.599 €,/auto-oglasi/18534357/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,171.300 km
154,Citroen C4 1.6 HDI CONFORT (može zamena),6.750 € + registracija,/auto-oglasi/19717146/citroen-c4-16-hdi-confort?attp=p0_pv0_pc0_pl1_plv0,147.460 km
155,Citroen C4 1.6 Hdi,3.700 €,/auto-oglasi/19716216/citroen-c4-16-hdi?attp=p0_pv0_pc0_pl1_plv0,187.000 km
156,Citroen C4 FUL/AUT,10.799 €,/auto-oglasi/19716173/citroen-c4-fulaut?attp=p0_pv0_pc0_pl1_plv0,189.000 km
157,Citroen C4,5.400 €,/auto-oglasi/19715271/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,209.000 km
158,Citroen C4 1.6 HDI (može zamena),2.700 €,/auto-oglasi/19715754/citroen-c4-16-hdi?attp=p0_pv0_pc0_pl1_plv0,182.000 km
159,Citroen C4 HDI (može zamena),2.249 €,/auto-oglasi/19564176/citroen-c4-hdi?attp=p0_pv0_pc0_pl1_plv0,368.000 km
160,Citroen C4  (može zamena),2.700 €,/auto-oglasi/19713957/citroen-c4?attp=p0_pv0_pc0_pl1_plv0,290.000 km
